case_id,task_type,numeric_claims,before_supported_numeric_claims,after_supported_numeric_claims,before_numeric_accuracy,after_numeric_accuracy,nearest_number_collision_fix_count,unit_fix_count,period_fix_count
ev1_aapl_2025q4_01,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_aapl_2025q4_02,financial,4,3,4,0.75,1.0,1,1,0
ev1_aapl_2025q4_03,event,4,3,4,0.75,1.0,1,1,0
ev1_aapl_2025q4_04,financial,4,3,4,0.75,1.0,1,1,0
ev1_aapl_2025q4_05,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_aapl_2025q4_06,event,4,3,4,0.75,1.0,1,1,0
ev1_googl_2025q4_01,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_googl_2025q4_02,financial,4,3,4,0.75,1.0,1,1,0
ev1_googl_2025q4_03,event,4,3,4,0.75,1.0,1,1,0
ev1_googl_2025q4_04,financial,4,3,4,0.75,1.0,1,1,0
ev1_googl_2025q4_05,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_googl_2025q4_06,event,4,3,4,0.75,1.0,1,1,0
ev1_msft_2025q4_01,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_msft_2025q4_02,financial,4,3,4,0.75,1.0,1,1,0
ev1_msft_2025q4_03,event,4,3,4,0.75,1.0,1,1,0
ev1_msft_2025q4_04,financial,4,3,4,0.75,1.0,1,1,0
ev1_msft_2025q4_05,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_msft_2025q4_06,event,4,3,4,0.75,1.0,1,1,0
ev1_nvda_2025q4_01,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_nvda_2025q4_02,financial,4,3,4,0.75,1.0,1,1,0
ev1_nvda_2025q4_03,event,4,3,4,0.75,1.0,1,1,0
ev1_nvda_2025q4_04,financial,4,3,4,0.75,1.0,1,1,0
ev1_nvda_2025q4_05,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_nvda_2025q4_06,event,4,3,4,0.75,1.0,1,1,0
ev1_tsla_2025q4_01,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_tsla_2025q4_02,financial,4,3,4,0.75,1.0,1,1,0
ev1_tsla_2025q4_03,event,4,3,4,0.75,1.0,1,1,0
ev1_tsla_2025q4_04,financial,4,3,4,0.75,1.0,1,1,0
ev1_tsla_2025q4_05,fundamental,4,3,4,0.75,1.0,1,1,0
ev1_tsla_2025q4_06,event,4,3,4,0.75,1.0,1,1,0
