threshold,case_id,task_type,baseline_grounded_rate,candidate_grounded_rate,grounded_rate_delta,potential_false_positive_rate_proxy,total_claims,newly_accepted_claims
0.7,ev1_aapl_2025q4_01,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_aapl_2025q4_02,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_aapl_2025q4_03,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_aapl_2025q4_04,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_aapl_2025q4_05,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_aapl_2025q4_06,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_googl_2025q4_01,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_googl_2025q4_02,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_googl_2025q4_03,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_googl_2025q4_04,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_googl_2025q4_05,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_googl_2025q4_06,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_msft_2025q4_01,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_msft_2025q4_02,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_msft_2025q4_03,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_msft_2025q4_04,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_msft_2025q4_05,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_msft_2025q4_06,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_nvda_2025q4_01,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_nvda_2025q4_02,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_nvda_2025q4_03,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_nvda_2025q4_04,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_nvda_2025q4_05,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_nvda_2025q4_06,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_tsla_2025q4_01,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_tsla_2025q4_02,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_tsla_2025q4_03,event,0.5,1.0,0.5,0.5,10,5
0.7,ev1_tsla_2025q4_04,financial,0.5,1.0,0.5,0.5,10,5
0.7,ev1_tsla_2025q4_05,fundamental,0.5,1.0,0.5,0.5,10,5
0.7,ev1_tsla_2025q4_06,event,0.5,1.0,0.5,0.5,10,5
0.65,ev1_aapl_2025q4_01,fundamental,0.5,1.0,0.5,0.5,10,5
